Departamento,Provincia,Distrito,Sexo,Edad,Donacion,Cantidad
Amazonas,Chachapoyas,Chachapoyas,Hombre,18,SI,16
Amazonas,Chachapoyas,Chachapoyas,Hombre,18,NO,57
Amazonas,Chachapoyas,Chachapoyas,Hombre,18,NE,212
Amazonas,Chachapoyas,Chachapoyas,Hombre,19,SI,10
Amazonas,Chachapoyas,Chachapoyas,Hombre,19,NO,77
Amazonas,Chachapoyas,Chachapoyas,Hombre,19,NE,145
Amazonas,Chachapoyas,Chachapoyas,Hombre,20,SI,12
Amazonas,Chachapoyas,Chachapoyas,Hombre,20,NO,68
Amazonas,Chachapoyas,Chachapoyas,Hombre,20,NE,130
Amazonas,Chachapoyas,Chachapoyas,Hombre,21,SI,19
Amazonas,Chachapoyas,Chachapoyas,Hombre,21,NO,92
Amazonas,Chachapoyas,Chachapoyas,Hombre,21,NE,120
Amazonas,Chachapoyas,Chachapoyas,Hombre,22,SI,18
Amazonas,Chachapoyas,Chachapoyas,Hombre,22,NO,106
Amazonas,Chachapoyas,Chachapoyas,Hombre,22,NE,97
Amazonas,Chachapoyas,Chachapoyas,Hombre,23,SI,26
Amazonas,Chachapoyas,Chachapoyas,Hombre,23,NO,123
Amazonas,Chachapoyas,Chachapoyas,Hombre,23,NE,73
Amazonas,Chachapoyas,Chachapoyas,Hombre,24,SI,19
Amazonas,Chachapoyas,Chachapoyas,Hombre,24,NO,104
Amazonas,Chachapoyas,Chachapoyas,Hombre,24,NE,65
Amazonas,Chachapoyas,Chachapoyas,Hombre,25,SI,29
Amazonas,Chachapoyas,Chachapoyas,Hombre,25,NO,113
Amazonas,Chachapoyas,Chachapoyas,Hombre,25,NE,31
Amazonas,Chachapoyas,Chachapoyas,Mujer,18,SI,16
Amazonas,Chachapoyas,Chachapoyas,Mujer,18,NO,35
Amazonas,Chachapoyas,Chachapoyas,Mujer,18,NE,178
Amazonas,Chachapoyas,Chachapoyas,Mujer,19,SI,14
Amazonas,Chachapoyas,Chachapoyas,Mujer,19,NO,63
Amazonas,Chachapoyas,Chachapoyas,Mujer,19,NE,157
Amazonas,Chachapoyas,Chachapoyas,Mujer,20,SI,23
Amazonas,Chachapoyas,Chachapoyas,Mujer,20,NO,58
Amazonas,Chachapoyas,Chachapoyas,Mujer,20,NE,134
Amazonas,Chachapoyas,Chachapoyas,Mujer,21,SI,12
Amazonas,Chachapoyas,Chachapoyas,Mujer,21,NO,70
Amazonas,Chachapoyas,Chachapoyas,Mujer,21,NE,105
Amazonas,Chachapoyas,Chachapoyas,Mujer,22,SI,23
Amazonas,Chachapoyas,Chachapoyas,Mujer,22,NO,107
Amazonas,Chachapoyas,Chachapoyas,Mujer,22,NE,95
Amazonas,Chachapoyas,Chachapoyas,Mujer,23,SI,29
Amazonas,Chachapoyas,Chachapoyas,Mujer,23,NO,109
Amazonas,Chachapoyas,Chachapoyas,Mujer,23,NE,90
Amazonas,Chachapoyas,Chachapoyas,Mujer,24,SI,25
Amazonas,Chachapoyas,Chachapoyas,Mujer,24,NO,111
Amazonas,Chachapoyas,Chachapoyas,Mujer,24,NE,54
Amazonas,Chachapoyas,Chachapoyas,Mujer,25,SI,41
Amazonas,Chachapoyas,Chachapoyas,Mujer,25,NO,131
Amazonas,Chachapoyas,Chachapoyas,Mujer,25,NE,54
Amazonas,Bagua,La Peca,Hombre,18,NO,18
Amazonas,Bagua,La Peca,Hombre,18,NE,66
Amazonas,Bagua,La Peca,Hombre,19,SI,1
Amazonas,Bagua,La Peca,Hombre,19,NO,18
Amazonas,Bagua,La Peca,Hombre,19,NE,37
Amazonas,Bagua,La Peca,Hombre,20,SI,4
Amazonas,Bagua,La Peca,Hombre,20,NO,16
Amazonas,Bagua,La Peca,Hombre,20,NE,44
Amazonas,Bagua,La Peca,Hombre,21,SI,4
Amazonas,Bagua,La Peca,Hombre,21,NO,27
Amazonas,Bagua,La Peca,Hombre,21,NE,56
Amazonas,Bagua,La Peca,Hombre,22,SI,2
Amazonas,Bagua,La Peca,Hombre,22,NO,34
Amazonas,Bagua,La Peca,Hombre,22,NE,36
Amazonas,Bagua,La Peca,Hombre,23,SI,4
Amazonas,Bagua,La Peca,Hombre,23,NO,40
Amazonas,Bagua,La Peca,Hombre,23,NE,30
Amazonas,Bagua,La Peca,Hombre,24,SI,2
Amazonas,Bagua,La Peca,Hombre,24,NO,46
Amazonas,Bagua,La Peca,Hombre,24,NE,25
Amazonas,Bagua,La Peca,Hombre,25,SI,2
Amazonas,Bagua,La Peca,Hombre,25,NO,48
Amazonas,Bagua,La Peca,Hombre,25,NE,28
Amazonas,Bagua,La Peca,Mujer,18,SI,2
Amazonas,Bagua,La Peca,Mujer,18,NO,6
Amazonas,Bagua,La Peca,Mujer,18,NE,47
Amazonas,Bagua,La Peca,Mujer,19,SI,2
Amazonas,Bagua,La Peca,Mujer,19,NO,12
Amazonas,Bagua,La Peca,Mujer,19,NE,47
Amazonas,Bagua,La Peca,Mujer,20,SI,4
Amazonas,Bagua,La Peca,Mujer,20,NO,12
Amazonas,Bagua,La Peca,Mujer,20,NE,56
Amazonas,Bagua,La Peca,Mujer,21,SI,1
Amazonas,Bagua,La Peca,Mujer,21,NO,24
